,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
0,001-1,Gears,Gift Set,Normal,Vintage,Samsonite,Basic Set,1965,View tags »,43,$4.95,"
New: ~CA$102
Used: ~CA$34
",11.5c,5 - 12,Box,39.5 x 20.3 x 5.1 cm (15.6 x 8 x 2 in),Retail,USA/Canada only. Came in full colored box and plain brown mailer box.Included in 005-2 ,Not yet rated,,,,,,
1,0011-2,Town Minifigures,,Normal,Modern day,Town,Accessories,1979,View tags »ConstructionMinifigure PackPolice ,3,$4.49,"
New: 
Used: ~CA$6
",149.7c,,Blister pack,,Retail - limited,,Not yet rated,3,,,,,
2,0011-3,2 For 1 Bonus Offer,,Collection,Historical,Castle,Bonus/Value Pack,1987,View tags »Black FalconsCrusaders ,151,$1.50,"
New: 
Used:
 ",1.0c,,Box,,Retail - limited,Contains 6016-1 6041-1 ,Not yet rated,,,,,,
3,0012-1,Space minifigures,,Normal,Action/Adventure,Space,,1979,View tags »Classic SpaceMinifigure Pack ,4,,"
New: 
Used:
",,,,,,, 1 Review,2,,,,,
4,0013-1,Space minifigures,,Normal,Action/Adventure,Space,,1979,View tags »Classic SpaceMinifigure Pack ,4,,"
New: 
Used:
",,,,,,,Not yet rated,2,,,,,
5,0014-1,Space minifigures,,Normal,Action/Adventure,Space,,1979,View tags »Classic SpaceMinifigure Pack ,4,,"
New: 
Used:
",,,,,,,Not yet rated,2,,,,,
6,0015-1,Space Mini-Figures,,Normal,Action/Adventure,Space,,1979,View tags »,18,,"
New: 
Used:
",,,,,,,Not yet rated,3,,,,,
7,0016-1,Castle Minifigures,,Normal,Historical,Castle,,1979,View tags »Classic KnightsMinifigure Pack ,6,,"
New: 
Used: ~CA$49
",,,,,,, 2 Reviews,3,,,,,
8,002-1,4.5V Samsonite Gears Motor Set,,Normal,Vintage,Samsonite,Basic Set,1965,View tags »,3,$4.95,"
New: 
Used: ~CA$103
",165.0c,6 - 12,Box,20.3 x 10.2 x 5.1 cm (8 x 4 x 2 in),,USA/Canada only. Came in full colored box and plain brown mailer box.,Not yet rated,,0.24Kg (0.54 lb),,,,
9,003-1,Master Mechanic Set,,Normal,Vintage,Samsonite,Basic Set,1966,View tags »,418,$17.95,"
New: 
Used:
",4.3c,6 - 12,Box,49.5 x 10.2 x 20.3 cm (19.5 x 4 x 8 in),Retail,USA/Canada only. Came in full colored box and plain brown mailer box.,Not yet rated,,,,,,
10,005-1,Basic Building Set in Cardboard,,Normal,Basic,System,Basic Set,1965,View tags »,,,"
New: 
Used: ~CA$49
",,,,,,,Not yet rated,,,,,,
11,005-2,Discovery Set,,Collection,Vintage,Samsonite,Basic Set,1967,View tags »,328,$9.95,"
New: 
Used: ~CA$108
",3.0c,,Box,39.4 x 20.3 x 10.2 cm (15.5 x 8 x 4 in),Retail - limited,USA only. FAO Schwarz exclusive. Contains 001 and 285.Contains 001-1 285-1 ,Not yet rated,,2.26Kg (4.98 lb),,,,
12,010-1,Basic Building Set in Cardboard,,Normal,Basic,System,Basic Set,1965,View tags »,57,,"
New: 
Used: ~CA$47
",,,Box,10 x 20 x 5 cm (3.9 x 7.9 x 2 in),Retail,,Not yet rated,,,,,,
13,010-3,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »BoatLighthouse ,78,,"
New: 
Used: ~CA$21
",,,,,,,Not yet rated,,,,,,
14,011-1,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »BoatHouse ,146,,"
New: ~CA$127
Used: ~CA$30
",,,,,,,Not yet rated,,,,,,
15,021-1,Wheel Set,,Normal,Vintage,Samsonite,Basic Set,1966,View tags »,185,$4.95,"
New: 
Used: ~CA$60
",2.7c,4 - 10,Box,30 x 5.1 x 20 cm (11.8 x 2 x 7.9 in),Retail,USA/Canada only.,Not yet rated,,,,,,
16,022-1,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »BoatHouseLighthouse ,110,,"
New: 
Used: ~CA$23
",,,,,,,Not yet rated,,,,,,
17,028-1,Nursery Furniture,Nursery Furniture,Normal,Pre-school,Duplo,,1979,View tags »,2,,"
New: 
Used: ~CA$15
",,,,,,,Not yet rated,2,,,,,
18,030-2,Building Set,,Normal,Pre-school,Duplo,,1973,View tags »,29,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
19,032-1,Living Room Furniture,Living Room Furniture,Normal,Pre-school,Duplo,,1979,View tags »,14,,"
New: 
Used: ~CA$20
",,,,,,Same as 2630-1 ,Not yet rated,3,,,,,
20,033-1,Farm Animals,Farm Animals,Normal,Pre-school,Duplo,,1979,View tags »,21,,"
New: 
Used:
",,,,,,, 1 Review,1,,,,,
21,033-2,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »House ,182,,"
New: 
Used: ~CA$35
",,,,,,,Not yet rated,,,,,,
22,041-1,Pre-School Beginners Set,,Normal,Vintage,Samsonite,Jumbo Bricks,1964,View tags »,24,$4.95,"
New: 
Used:
",20.6c,,Box,40.6 x 3.2 x 30.5 cm (16 x 1.2 x 12 in),,,Not yet rated,,0.93Kg (2.05 lb),,,,
23,041-2,Play-Box,,Normal,Pre-school,Duplo,,1979,View tags »,4,,"
New: ~CA$74
Used:
",,,,,,Same as 2643-2 ,Not yet rated,,,,,,
24,042-1,Jumbo Brick Pull Toy,,Normal,Vintage,Samsonite,Jumbo Bricks,1966,View tags »,6,$3.50,"
New: 
Used:
",58.3c,1 - 4,Box,,Retail,US version of 501-3 ,Not yet rated,,,,,,
25,044-1,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »HouseTruck ,234,,"
New: ~CA$209
Used: ~CA$22
",,,,,,,Not yet rated,,,,,,
26,044-2,Jumbo Bricks,,Normal,Vintage,Samsonite,Jumbo Bricks,1969,View tags »,30,,"
New: 
Used:
",,,Box,,,USA only.,Not yet rated,,,,,,
27,045-1,Farm,Farm,Normal,Pre-school,Duplo,,1979,View tags »BirdChickenCowDogFarmHorsePigSheepTractorTrailerWindmill ,65,,"
New: 
Used:
",,,,,,Same set as 2650.Same as 2650-1 ,Not yet rated,5,,,,,
28,045-2,Assorted Clear Bricks & Plates,,Normal,Vintage,Samsonite,Supplemental,1969,View tags »,37,,"
New: 
Used:
",,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,Plus 1 - 10 x 10 stud thick base plate - Red,Not yet rated,,,,,,
29,050-2,Lighting Device Pack,,Normal,Vintage,Samsonite,Supplemental,1969,View tags »,4,,"
New: 
Used:
",,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,,Not yet rated,,,,,,
30,051-1,Assorted basic bricks - Red,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,50,$1.00,"
New: 
Used:
",2.0c,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,Plus 1 - 10 X 10 Thick Baseplate - Red,Not yet rated,,,,,,
31,052-1,Assorted basic bricks - White,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,50,$1.00,"
New: 
Used:
",2.0c,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,Plus 1 - 10 X 10 Thick Baseplate - Red,Not yet rated,,,,,,
32,053-1,Assorted basic bricks - Blue,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,50,$1.00,"
New: 
Used:
",2.0c,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,Plus 1 - 10 X 10 Thick Baseplate - Red,Not yet rated,,0.13Kg (0.3 lb),,,,
33,054-1,Assorted basic bricks - Yellow,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,50,$1.00,"
New: 
Used:
",2.0c,,,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),,Plus 1 - 10 X 10 Thick Baseplate - Red,Not yet rated,,,,,,
34,055-1,Trees & Bushes,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,25,$1.00,"
New: 
Used:
",4.0c,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,12 Unpainted Pine Trees - Green12 Unpainted Evergreen bushes - Green,Not yet rated,,,,,,
35,055-2,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »AircraftBiplaneHousePropeller AircraftTruck ,256,,"
New: 
Used: ~CA$75
",,,,,,,Not yet rated,,,,,,
36,057-1,Large Wheels,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,17,$1.50,"
New: ~CA$64
Used:
",8.8c,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,4 Large 4X4 stud wheels12 wheel accessoriesPlus 1 - 10 X 10 Thick Baseplate - Red,Not yet rated,,,,,,
37,058-1,Small wheels,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,26,$1.50,"
New: 
Used:
",5.8c,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,8 2X2 Stud small wheels17 Wheel accessoriesPlus 1 - 10 X 10 Thick Baseplate - Red,Not yet rated,,0.11Kg (0.24 lb),,,,
38,060-1,Assorted White Plates Pack,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »,15,$1.00,"
New: 
Used:
",6.7c,,Box,9.8 x 4.8 x 9.8 cm (3.9 x 1.9 x 3.9 in),Retail,"14 Plates: 2X8, 4X8, 4X8 Curved and 6X8Plus 1 - 10 X 10 Thick Baseplate - grey",Not yet rated,,,,,,
39,060-3,Jumbo Brick School Set,,Normal,Vintage,Samsonite,Jumbo Bricks,1968,View tags »,60,,"
New: 
Used:
",,,Box,,Educational,USA only.,Not yet rated,,,,,,
40,061-1,5 - 10X20 base plates - Green,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »Baseplate ,5,$1.00,"
New: 
Used:
",20.0c,,Shrink-wrapped,16.5 x 4.9 x 7.9 cm (6.5 x 1.9 x 3.1 in),Retail,,Not yet rated,,,,,,
41,062-1,5 - 10X20 base plates - White,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »Baseplate ,5,$1.00,"
New: 
Used:
",20.0c,,Shrink-wrapped,16.5 x 4.9 x 7.9 cm (6.5 x 1.9 x 3.1 in),Retail,,Not yet rated,,,,,,
42,063-1,5 - 10X20 base plates - Blue,,Normal,Vintage,Samsonite,Supplemental,1966,View tags »Baseplate ,5,$1.00,"
New: 
Used:
",20.0c,,Shrink-wrapped,16.5 x 4.9 x 7.9 cm (6.5 x 1.9 x 3.1 in),Retail,,Not yet rated,,,,,,
43,063-2,Ducks,,Normal,Pre-school,PreSchool,,1978,View tags »Brick Built AnimalsDuckDuplo ,5,,"
New: 
Used:
",,,,,,US version of 532-1 ,Not yet rated,,,,,,
44,065-1,2 Garage Door Kits,,Normal,Vintage,Samsonite,Supplemental,1969,View tags »,6,,"
New: 
Used:
",,,Box,15.2 x 5.1 x 10.2 cm (6 x 2 x 4 in),Retail,,Not yet rated,,0.09Kg (0.19 lb),,,,
45,066-1,Basic Building Set,,Normal,Basic,System,Basic Set,1968,View tags »AircraftBiplaneBrick Built FigureCombine HarvesterHouseLighthousePropeller AircraftSteam LocomotiveWindmill ,407,,"
New: 
 Used: ~CA$70
",,,,,,Similar to 066-2 ,Not yet rated,,,,,,
46,071-1,Block Box,,Normal,Pre-school,Duplo,,1979,View tags »,24,,"
New: 
Used:
",,,,,,Year of release yet to be confirmed.,Not yet rated,,,,,,
47,077-1,Pre-School Set,,Normal,Pre-school,Duplo,,1975,View tags »,21,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
48,078-1,Roadway Base Plate 50X50,,Normal,Vintage,Samsonite,Supplemental,1970,View tags »Road Baseplate ,1,$1.99,"
New: 
Used:
",199.0c,,,,,USA only.,Not yet rated,,,,,,
49,080-1,Basic Building Set with Train,,Normal,Basic,System,Basic Set,1967,View tags »Brick Built FigureFreight TrainFreight WagonHousePoliceRailway BuildingSteam LocomotiveTrackTrain StationTrain TrackTruck ,718,,"
New: 
Used: ~CA$1036
",,,,,,Similar to 080-2 ,Not yet rated,,,,,,
50,080-2,Ambassador Set,,Normal,Vintage,Samsonite,Basic Set,1967,View tags »,562,$25.00,"
New: 
Used:
",4.4c,3 - 15,Box,49.5 x 10.2 x 29.8 cm (19.5 x 4 x 11.7 in),Retail - limited,USA only. FAO Schwarz exclusiveSimilar to 080-1 ,Not yet rated,,,,,,
51,080-3,Police Station,,Normal,Pre-school,PreSchool,,1976,View tags »DogDuploPolicePolice Station ,28,,"
New: 
Used: ~CA$95
",,,,,,USA only set.US version of 522-1 ,Not yet rated,4,,,,,
52,082-1,LEGOVille,,Normal,Pre-school,PreSchool,,1976,View tags »DogDuploHotelRestaurantShop ,66,,"
New: 
Used:
",,,,,,US version of 524-1 ,Not yet rated,7,,,,,
53,086-1,Tub Boat,,Normal,Pre-school,PreSchool,,1978,View tags »BoatDuploFloats On Water ,3,,"
New: 
Used:
",,,,,,US version of 534-1 ,Not yet rated,1,,,,,
54,088-1,Super Set,,Normal,Basic,Universal Building Set,Basic Set,1969,View tags »4.5VElectricElectric Motor ,615,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
55,10000-1,Guarded Inn,,Normal,Historical,Castle,Lion Knights,2001,View tags »Black FalconsCrusadersHorseHotelLegends ,253,$25.00,"
New: ~CA$281
Used: ~CA$190
",9.9c,,Box,,LEGO exclusive,Random set of the day on 11 Feb 2018Re-released version of 6067-1 ,✭✭✭✭✭ 4.7 27 ratings 7 Reviews,4,,UPC: 673419010047EAN: 5702014151147,,,
56,1000-1,Mosaic Set,,Normal,Educational,Dacta,,1986,View tags »BaseplateDuploMosaic ,191,$46.75,"
New: ~CA$205
Used: ~CA$52
",24.5c,,,,,, 2 Reviews,,,,,,
57,10001-1,Metroliner,,Normal,Modern day,Trains,9V,2001,View tags »9VBedroomBicycleD2cElectricElectric LocomotiveElectric MotorLamppostLegendsLight BrickMetrolinerMultibuildPassenger CoachPassenger TrainPublic TransportTrackside StructureTrain Track ,782,$149.00,"
New: ~CA$1086
Used: ~CA$475
",19.1c,,Box,,LEGO exclusive,Random set of the day on 06 Mar 2019Re-released version of 4558-1 , 4 Reviews,11,,UPC: 673419010078EAN: 5702014151468,,,
58,10002-1,Railroad Club Car,,Normal,Modern day,Trains,9V,2001,View tags »BedroomD2cLegendsMetrolinerPassenger Coach ,293,$37.50,"
New: ~CA$508
Used: ~CA$291
",12.8c,,Box,,LEGO exclusive,Random set of the day on 24 Aug 2019Re-released version of 4547-1 , 2 Reviews,5,,,,,
59,10003-1,1x2 Sand Red Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,100,$6.00,"
New: ~CA$41
Used: ~CA$53
",6.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
60,10004-1,2x2 Sand Red Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,100,$7.00,"
New: ~CA$64
Used:
",7.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
61,10005-1,2x4 Sand Red Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,50,$7.00,"
New: 
Used:
",14.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
62,10006-1,1x6 Sand Red Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,50,$7.00,"
New: ~CA$76
Used: ~CA$30
",14.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
63,10007-1,"2x4 Sand Red Ridge Roof Tiles, Steep Sloped",,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,25,$5.00,"
New: ~CA$11
Used:
",20.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
64,10008-1,2x4 Sand Red Roof Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,50,$8.00,"
New: ~CA$33
Used:
",16.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
65,10009-1,Assorted Blue Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,62,$5.00,"
New: ~CA$15
Used:
",8.1c,,Polybag,,LEGO exclusive,Re-released version of 5141-1 ,Not yet rated,,,,,,
66,100-1,4.5V Motor with Wheels (Small Version),,Normal,Modern day,Trains,Supplemental / 4.5V,1966,View tags »4.5VElectricElectric Motor ,16,,"
New: ~CA$75
Used: ~CA$44
",,,,,,,Not yet rated,,,,,,
67,10010-1,Assorted Yellow Bricks,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,62,$4.99,"
New: ~CA$10
Used: ~CA$7
",8.0c,,Polybag,,LEGO exclusive,Re-released version of 5143-1 ,Not yet rated,,,,,,
68,10011-1,Assorted Blue Plates,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,42,$4.99,"
New: ~CA$12
Used: ~CA$7
",11.9c,,Polybag,,LEGO exclusive,Re-released version of 5146-1 ,Not yet rated,,,,,,
69,10012-1,Assorted Yellow Plates,,Normal,Basic,Bulk Bricks,,2001,View tags »Polybag ,42,$5.00,"
New: ~CA$27
Used:
",11.9c,,Polybag,,LEGO exclusive,, 1 Review,,,,,,
70,10013-1,Open Freight Wagon,,Normal,Modern day,Trains,9V,2001,View tags »D2cFreight WagonMy Own Train ,121,$17.00,"
New: ~CA$73
Used: ~CA$64
",14.0c,,Box,,Retail - limited,Included in 65537-1 ,✭✭✭✭✩ 3.6 24 ratings 2 Reviews,,,UPC: 673419011860EAN: 5702014154360, Jørn Thomsen ,,
71,10014-1,Caboose,,Normal,Modern day,Trains,9V,2001,View tags »D2cFreight WagonMy Own Train ,170,$15.00,"
New: ~CA$104
Used: ~CA$75
",8.8c,,Box,,Retail - limited,Included in 65536-1 ,✭✭✭✭✩ 4.0 28 ratings 3 Reviews,,,, Jørn Thomsen ,,
72,10015-1,Green Passenger Wagon,,Normal,Modern day,Trains,9V,2001,View tags »D2cMy Own TrainPassenger Coach ,194,$19.99,"
New: ~CA$102
Used: ~CA$83
",10.3c,,Box,,Retail - limited,Included in 65536-1 Similar to 4186876-1 ,✭✭✭✭✩ 3.9 17 ratings 3 Reviews,,,, Jørn Thomsen ,,
73,10016-1,Tanker,,Normal,Modern day,Trains,9V,2001,View tags »D2cFreight TrainMy Own TrainOctanTanker ,128,$20.00,"
New: ~CA$156
Used: ~CA$93
",15.6c,,Box,,Retail - limited,,✭✭✭✭✩ 3.4 22 ratings 2 Reviews,,,, Jørn Thomsen ,,
74,10017-1,Hopper Wagon,,Normal,Modern day,Trains,9V,2001,View tags »D2cFreight WagonMy Own Train ,228,$20.00,"
New: ~CA$101
Used: ~CA$72
",8.8c,,Box,,Retail - limited,Included in 65537-1 , 1 Review,,,UPC: 673419011907EAN: 5702014154407, Jørn Thomsen ,,
75,10018-1,Darth Maul,,Normal,Licensed,Star Wars,Ultimate Collector Series,2001,View tags »D2cPrequel TrilogySculpturesSithThe Phantom Menace ,1868,$150.00,"
New: ~CA$2235
Used: ~CA$637
",8.0c,14+,Box,,Retail - limited,,✭✭✭✭✩ 4.0 30 ratings 4 Reviews,,,EAN: 5702014156845,,,
76,10019-1,Rebel Blockade Runner,,Normal,Licensed,Star Wars,Ultimate Collector Series,2001,View tags »A New HopeD2cOriginal TrilogyRebel AllianceStarfighterTantive Iv ,1747,$200.00,"
New: ~CA$1933
Used: ~CA$780
",11.4c,14+,Box,,Retail - limited,,✭✭✭✭✭ 4.5 59 ratings 13 Reviews,,,UPC: 673419012683,,,
77,100-2,4.5V Motor with Wheels (Large Version),,Normal,Modern day,Trains,Supplemental / 4.5V,1966,View tags »4.5VElectricElectric Motor ,27,,"
New: ~CA$83
Used: ~CA$60
",,,,,,,Not yet rated,,,,,,
78,10020-1,Santa Fe Super Chief,,Normal,Modern day,Trains,9V,2002,View tags »Art DecoD2cDiesel LocomotivePassenger TrainTrainUSA ,435,£26.99 / $40.00,"
New: ~CA$448
Used: ~CA$302
",6.2p / 9.2c,,Box,,LEGO exclusive,The first 9999 sets made each came with an individually numbered tile and were released as limited edition sets. The LEGO Group kept the first ten numbered sets and later put them up for auction on www.ebay.comRandom set of the day on 29 Jul 2019,✭✭✭✭✭ 4.7 40 ratings 12 Reviews,2,,UPC: 673419015646,, Henrik Andersen Jørn Thomsen ,
79,10021-1,USS Constellation,,Normal,Vintage,Hobby Set,,2003,View tags »D2cGalleonLegendsShip ,973,£44.99 / $60.00,"
New: ~CA$299
Used: ~CA$107
",4.6p / 6.2c,,Box,,LEGO exclusive,Re-released version of 398-1 , 1 Review,,,,,,
80,10022-1,Santa Fe Cars - Set II,,Normal,Modern day,Trains,9V,2002,View tags »Art DecoBedroomD2cMultibuildPassenger CoachUSA ,411,£26.99 / $35.00,"
New: ~CA$550
Used: ~CA$316
",6.6p / 8.5c,,Box,,LEGO exclusive,"Another set from the ""My Own Creation"" series. Makes either a sleeping car, an observation car, or a dining car.",✭✭✭✭✩ 4.2 25 ratings 3 Reviews,,,UPC: 673419019729, Jørn Thomsen ,,
81,10023-1,Bionicle Master Builder Set,,Normal,Constraction,Bionicle,Accessories,2002,View tags »CrabFishKangarooKanohiMata Nui (Location)OstrichRahiRhinocerosScorpionsSharkSnakeSpiderToadTurtle ,112,$13.00,"
New: ~CA$140
Used: ~CA$147
",11.6c,,,,,, 2 Reviews,,,UPC: 673419016308,,,
82,10024-1,Red Baron,,Normal,Model making,Creator Expert,Aircraft,2002,View tags »AircraftD2cHistoricMilitaryPropeller AircraftTriplane ,664,£34.99 / $50.00,"
New: ~CA$621
Used: ~CA$243
",5.3p / 7.5c,12+,Box,,Retail - limited,,✭✭✭✭✭ 4.4 36 ratings 3 Reviews,,,UPC: 673419016087, Henrik Andersen ,,
83,10025-1,Santa Fe Cars - Set I,,Normal,Modern day,Trains,9V,2002,View tags »Art DecoD2cMailMultibuildPassenger CoachPostUSA ,326,£24.99 / $35.00,"
New: ~CA$365
Used: ~CA$294
",7.7p / 10.7c,,Box,,LEGO exclusive,"Another set from the ""My Own Creation"" series. Makes either a mail car or a baggage car.Random set of the day on 30 Sep 2018",✭✭✭✭✭ 4.4 25 ratings 2 Reviews,,,UPC: 673419014328, Jørn Thomsen ,,
84,10026-1,Special Edition Naboo Starfighter,,Normal,Licensed,Star Wars,Ultimate Collector Series,2002,View tags »Attack Of The ClonesD2cDroidNabooPrequel TrilogyStarfighter ,187,$40.00,"
New: ~CA$857
Used: ~CA$440
",21.4c,,Box,,,,✭✭✭✭✩ 4.0 52 ratings 6 Reviews,,,UPC: 673419014335,,,
85,10027-1,Train Engine Shed,,Normal,Modern day,World City,Trains,2003,View tags »9VBaseplateCoffee MachineCraneD2cElectricOctanRailway BuildingRailway MaintenanceTrackside StructureTrain Track ,664,£49.99 / $70.00,"
New: ~CA$614
Used: ~CA$456
",7.5p / 10.5c,,Box,,LEGO exclusive,Limited release.Random set of the day on 12 Feb 2019,✭✭✭✭✭ 4.3 46 ratings 9 Reviews,2,,UPC: 673419032209, Henrik Andersen ,,
86,10029-1,Lunar Lander,,Normal,Modern day,Discovery,,2003,View tags »D2cMoon LandingNASASpaceUSA ,453,£89.99 / $40.00,"
New: ~CA$439
Used: ~CA$274
",19.9p / 8.8c,,Box,,LEGO exclusive,Limited release. Available from Shop At Home.Random set of the day on 11 Mar 2020, 3 Reviews,2,,,,,
87,10030-1,Imperial Star Destroyer,,Normal,Licensed,Star Wars,Ultimate Collector Series,2002,View tags »A New HopeD2cGalactic EmpireMicroscaleOriginal TrilogyStarfighterTantive Iv ,3096,£249.99 / $269.99,"
New: ~CA$1899
Used: ~CA$956
",8.1p / 8.7c,16+,Box,,Retail - limited,,✭✭✭✭✭ 4.5 98 ratings 35 Reviews,,,UPC: 673419014472,,,
88,10036-1,Pizza-To-Go,,Normal,Modern day,Town,Shops and Services,2002,View tags »BaseplateD2cDelivery TruckLegendsPizzaPizzeriaRestaurant ,151,$20.00,"
New: ~CA$163
Used: ~CA$69
",13.2c,,Box,,LEGO exclusive,Random set of the day on 25 Sep 2020Re-released version of 6350-1 ,✭✭✭✭✭ 4.7 22 ratings 8 Reviews,3,,,,,
89,10037-1,Breezeway Café,,Normal,Modern day,Town,Shops and Services,2002,View tags »BaseplateD2cKitchenLegendsParrotPizzeriaRestaurant ,183,$23.00,"
New: ~CA$160
Used: ~CA$76
",12.6c,,Box,,LEGO exclusive,Random set of the day on 22 Aug 2019Re-released version of 6376-1 , 4 Reviews,5,,,,,
90,10039-1,Black Falcon's Fortress,,Normal,Historical,Castle,Black Falcons,2002,View tags »Black FalconsD2cDrawbridgeEnclosed FortressHorseLegends ,426,$40.00,"
New: ~CA$467
Used: ~CA$255
",9.4c,,Box,,LEGO exclusive,Re-released version of 6074-1 ,✭✭✭✭✭ 4.6 24 ratings 4 Reviews,6,,UPC: 673419014540,,,
91,10040-1,Black Seas Barracuda,,Normal,Historical,Pirates,,2002,View tags »Captain Redbeard Black Seas BarracudaD2cGalleonLegendsMonkeyParrotRowing BoatShip ,906,$90.00,"
New: ~CA$2044
Used: ~CA$523
",9.9c,,Box,,LEGO exclusive,Re-released version of 6285-1 ,✭✭✭✭✭ 4.7 19 ratings 8 Reviews,8,,,,,
92,10041-1,Main Street,,Normal,Modern day,Town,Shops and Services,2003,View tags »BedroomCarConstructionConvertibleCraneD2cHouseLamppostLegendsPedestrian CrossingPickup TruckRoad BaseplateService StationStreet VendorTruck ,616,£49.99 / $65.00,"
New: ~CA$362
Used: ~CA$217
",8.1p / 10.6c,8+,Box,,LEGO exclusive,Random set of the day on 04 Mar 2019Re-released version of 6390-1 ,✭✭✭✭✭ 4.3 11 ratings 10 Reviews,8,,UPC: 673419013901,,,
93,10042-1,U.S. Flag,,Normal,Basic,Bulk Bricks,Seasonal,2003,View tags »PolybagUSA ,35,£3.99 / $3.00,"
New: ~CA$10
Used: ~CA$8
",11.4p / 8.6c,,Polybag,,LEGO exclusive,Limited release. Available from Shop At Home.Also released in a bag numbered 4174362., 3 Reviews,,,,,,
94,10043-1,2 x 2 Electrical Plate,,Normal,Basic,Bulk Bricks,,2002,View tags »9VElectricPolybag ,1,$6.00,"
New: ~CA$28
Used: ~CA$9
",600.0c,,Polybag,,LEGO exclusive,, 1 Review,,,,,,
95,10044-1,Windows and Doors,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,44,$7.99,"
New: ~CA$12
Used:
",18.2c,,Polybag,,LEGO exclusive,, 2 Reviews,,,,,,
96,10045-1,Bridge Elements,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,13,$13.00,"
New: 
Used:
",100.0c,,Polybag,,LEGO exclusive,, 1 Review,,,,,,
97,10046-1,Brown Tiles,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,100,$7.00,"
New: ~CA$35
Used:
",7.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
98,10047-1,Arch,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,36,$5.99,"
New: ~CA$8
Used: ~CA$6
",16.6c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
99,10048-1,Small Wheels and Axles,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,61,$8.00,"
New: ~CA$10
Used:
",13.1c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
100,10049-1,Large Wheels and Axles,,Normal,Basic,Bulk Bricks,,2002,View tags »Polybag ,31,$6.00,"
New: ~CA$13
Used:
",19.4c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
